,product_name,energy-kcal_100g
2275,Огурцы Бондюэль маринованные 6-9 см,20.308
2276,Одуванчик,45.043
2277,Окрошка мясная с квасом,50.233
2278,Окрошка на кефире,47.991
2279,Окунь морской горячего копчения,179.96
2280,Окунь морской отварной,115.034
2281,Окунь морской свежий,76.665
2282,Окунь морской тушеный,123.224
2283,Окунь речной жареный,185.399
2284,Окунь речной запечённый,105.983
2285,Окунь речной припущенный,112.465
2286,Окунь речной свежий,84.211
2287,Окунь речной фаршированный,133.749
2288,Окунь черный морской свежий,104.867
2289,Оладушки с вареной сгущенкой,315.369
2290,Оладушки с вишней,304.387
2291,Оленина,158.915
2292,Оленина вареная,230.328
2293,Оленина варено-прессованная,131.138
2294,Оленина жареная,279.98
2295,Оленина тушеная,203.761
2296,Оленина тушеная Особая,92.837
2297,Оливки,128.513
2298,Оливки Бондюэль с косточкой / без косточки,195.728
2299,Омлет,190.216
2300,Омлет из взбитых сливок,271.152
2301,Омлет из яичного порошка,206.72
2302,Омлет с сыром,353.403
2303,Омуль свежий,90.33
2304,Опята маринованные,18.31
2305,Опята остренькие готовые,114.085
2306,Опята свежие,22.218
2307,Опята целые Sunfeel,28.7
2308,Опятки Hortex,23.448
2309,Орегано сушеный,229.347
2310,Орех кола,54.639
2311,Орех кукуи,757.892
2312,Орех лещина,673.394
2313,Орех макадамия,757.892
2314,Орех пекан,724.23
2315,Орех пили,800.164
2316,Орех сейшельский Коко-де-мер,350.165
2317,Орех чилим,307.516
2318,Орехи,515.1
2319,Ореховая смесь Молодёжная Белый Пеликан,472.707
2320,Орзо (ризони),351.448
2321,Осётр жареный,281.366
2322,Осётр отварной,184.05
2323,Осётр припущенный,183.531
2324,Осётр свежий,168.501
2325,Основа для пиццы Талосто,257.226
2326,Основа для рыбного бульона ХонДаши,231.92
2327,Осьминог,74.62
2328,Осьминог консервированный,150.808
2329,Осьминог маринованный,74.62
2330,Осьминог мини,79.4
2331,"Отруби сибирские Сила фруктов, хрустящие шарики",236.425
2332,Палтус отварной,222.762
2333,Палтус свежий,105.36
2334,Паляница Украинская,246.571
2335,Пампушки,231.801
2336,Пампушки с чесноком,306.997
2337,Пангасиус,89.37
2338,Папайя,41.109
2339,Папарделле,344.369
2340,Паприка Santa Maria копченая,272.73
2341,Паприка сушеная,316.122
2342,Пассифлора голубая (Кавалерская звезда),68.496
2343,Паста,344.369
2344,Паста DopDrops кокосовая,690.77
2345,Паста Hy-Top арахисовая хрустящая,644.49
2346,Паста Nutbutter арахисовая натуральная,653.1
2347,Паста Nutbutter кокосовая,662.07
2348,Паста Nutella,545.47
2349,Паста Бис шоколадная соевая,359.35
2350,Паста Том Ям Aroy-D,299.494
2351,Пастернак,48.105
2352,Пастила,333.33
2353,Пастила Шарлиз с ароматом ванили,345.739
2354,Пастила Шарлиз с кусочками мармелада,346.559
2355,Пастила Шармэль Ванильная,325.95
2356,Пастила Шармэль Йогурт,308.73
2357,Пастила Шармэль Клубника со сливками,323.9
2358,Пастила Шармэль Клюквенная,325.95
2359,Пастила яблочная,302.58
2360,Пастушья сумка,25.119
2361,Патиссон,21.019
2362,Патиссон консервированный,24.19
2363,Патока,323.817
2364,Патока кукурузная,323.817
2365,Пахта 0.5%,37.855
2366,Пахта 1%,42.09
2367,Пачули,0.0
2368,Паштет Grand-Mere печеночный классический,357.82
2369,Паштет Grand-Mere печеночный с грибами,327.9
2370,Паштет Grand-Mere печеночный с зеленью,337.6
2371,Паштет Grand-Mere печеночный с паприкой,327.9
2372,Паштет из говяжьей печени,206.029
2373,Паштет мясной,163.69
2374,Паштет печеночный говяжий классический,222.513
2375,Пекмез можжевеловый,241.298
2376,Пекмез рожкового дерева,259.665
2377,Пекмез финиковый,242.855
2378,Пекмез шелковицы,258.845
2379,Пектин,367.36
2380,Пеламида,223.758
2381,Пеленгас,120.25
2382,Пельмени,282.886
2383,Пенне Myllyn Paras,346.009
2384,Пепино,82.0
2385,Пепси,35.67
2386,Перепелка,131.185
2387,Перец анчо сушеный,247.148
2388,Перец белый,235.989
2389,Перец белый молотый,235.989
2390,Перец водяной (горец перечный),1.749
2391,Перец длинный чёрный,231.448
2392,Перец душистый,312.883
2393,Перец зелёный горошек,42.448
2394,Перец кайенский,44.908
2395,Перец красный молотый,24.517
2396,Перец мини,28.7
2397,Перец пепперони,35.504
2398,Перец пири-пири,49.008
2399,Перец Рамиро,27.579
2400,Перец ратунда,26.349
2401,Перец розовый горошек,0.82
2402,Перец серрано,22.986
2403,Перец сладкий 4 сезона нарезанный,28.399
2404,Перец сладкий жёлтый,27.06
2405,Перец сладкий зелёный,33.62
2406,Перец сладкий красный,27.06
2407,Перец сладкий маринованный,26.349
2408,Перец хабанеро,49.008
2409,Перец халапеньо,35.504
2410,Перец чёрный горошек,258.7
2411,Перец чёрный молотый,231.967
2412,Перец чили,49.008
2413,Перец чипотле,247.148
2414,"Перец японский (сычуанский, китайский)",235.989
2415,Перилла,0.0
2416,Перловая каша на воде,107.446
2417,Перловая каша рассыпчатая,110.726
2418,Перловая крупа,350.519
2419,Перловая крупа Мистраль Барли,357.982
2420,Персик,50.949
2421,Персик сушёный,252.586
2422,Персики консервированные,62.429
2423,Персиковый компот,83.64
2424,Персиковый нектар,37.72
2425,Персиковый сок,43.569
2426,Петрушка,50.046
2427,Петрушка (корень),53.134
2428,Петрушка сушеная,219.636
2429,Печенье,447.462
2430,Печенье MyProtein Cookie,442.428
2431,Печенье Oreo Chocolate Cream,488.214
2432,Печенье Oreo Original,492.122
2433,Печенье Wagon Wheels,440.124
2434,Печенье Анзак,440.706
2435,Печенье Грибочки,373.511
2436,Печенье Деревенское,519.162
2437,Печенье детское бегемотик Бонди с железом,428.275
2438,Печенье детское бегемотик Бонди с йодом,428.275
2439,Печенье детское бегемотик Бонди с кальцием,427.346
2440,Печенье детское Расти большой овсяное,434.29
2441,Печенье детское Расти большой с бананом,434.29
2442,Печенье Кокосанка,502.803
2443,Печенье Крекер,445.926
2444,Печенье Курабье,532.012
2445,Печенье Любятово Мария традиционное,416.255
2446,Печенье миндальное,504.853
2447,Печенье овсяное,454.806
2448,Печенье Посиделкино овсяное с шоколадными кусочками,474.694
2449,Печенье с ароматом топленого молока,534.005
2450,Печенье Савоярди,384.212
2451,Печенье сдобное,405.828
2452,Печенье Слоёные ушки,529.35
2453,Печенье Спартак с фруктозой,461.356
2454,Печенье Хворост,244.703
2455,Печенье Шакер бура,345.56
2456,Печенье Шакер чурек,409.032
2457,Печенье Юбилейное традиционное,480.865
2458,Печенье Юбилейное утреннее с какао,481.939
2459,Печеньице детское Heinz,437.715
2460,Печеньице детское Heinz 6 злаков,437.715
2461,Печеньице детское Heinz Какао,437.17
2462,Пиво Asahi Super Dry,12.71
2463,Пиво BagBier,18.86
2464,Пиво Bavaria Premium Pilsener,15.58
2465,Пиво Bernard ?erne,19.27
2466,Пиво Budweiser Budvar Original,12.3
2467,Пиво Carlsberg,15.99
2468,Пиво Efes Fusion,18.45
2469,Пиво Efes Pilsener,19.27
2470,Пиво Erdinger Wei?bier,10.66
2471,Пиво Franziskaner,10.25
2472,Пиво Franziskaner Dunkel,10.25
2473,Пиво Gambrinus Premium,18.04
2474,Пиво Gold Mine Beer,18.86
2475,Пиво Gold Mine Beer Fresh Lemon,22.55
2476,Пиво Green Beer,12.71
2477,Пиво Grolsh Premium,12.71
2478,Пиво Guinness Draught,12.3
2479,Пиво Guinness Extra Stout,12.3
2480,Пиво Hacker-Pschorr,11.07
2481,Пиво Hoegaarden,15.58
2482,Пиво Holsten Premium,13.12
2483,Пиво Kaltenberg,18.86
2484,Пиво Kilkenny красное,11.89
2485,Пиво Kronenbourg 1664,18.86
2486,Пиво Kronenbourg 1664 Blanc,17.22
2487,Пиво Kru?ovice Imperial,18.04
2488,Пиво Kru?ovice Чёрное,15.99
2489,Пиво MegaBier,18.86
2490,Пиво Miller Genuine Draft,14.35
2491,Пиво Paulaner Hefe-Wei?bier,10.66
2492,Пиво Pilsner Urquell,18.04
2493,Пиво Staropramen,14.76
2494,Пиво Tuborg Black,13.53
2495,Пиво Tuborg Green,18.86
2496,Пиво Tuborg Lemon,15.17
2497,Пиво Velkopopovick? Kozel ?ern?,15.58
2498,Пиво Velkopopovick? Kozel Premium,17.63
2499,Пиво Velkopopovick? Kozel Sv?tl?,13.94
2500,Пиво Zatecky Gus,14.76
2501,Пиво Арсенальное Живое,15.99
2502,Пиво Арсенальное Классическое,15.17
2503,Пиво Арсенальное Крепкое,16.4
2504,Пиво Арсенальное Традиционное,15.58
2505,Пиво Арсенальное Экстра Крепкое,17.63
2506,Пиво Балтика LITE,14.35
2507,Пиво Балтика №0 Безалкогольное,25.01
2508,Пиво Балтика №1 Легкое,19.68
2509,Пиво Балтика №2 Светлое,13.94
2510,Пиво Балтика №3 Классическое,19.68
2511,Пиво Балтика №4 Оригинальное,19.68
2512,Пиво Балтика №5 Золотое,12.3
2513,Пиво Балтика №6 Портер,20.09
2514,Пиво Балтика №7 Экспортное,13.94
2515,Пиво Балтика №8 Пшеничное,13.94
2516,Пиво Балтика №9 Крепкое,15.17
2517,Пиво Балтика Кулер,13.94
2518,Пиво Балтика Кулер Лайм,13.94
2519,Пиво безалкогольное,19.27
2520,Пиво Белый медведь Светлое,18.86
2521,Пиво Большая кружка Крепкое,19.68
2522,Пиво Большая кружка Янтарное,13.94
2523,Пиво Брама,18.45
2524,Пиво Волга Янтарное Специальное,19.27
2525,Пиво Жигулевское,18.86
2526,Пиво Золотая бочка Классическое,16.4
2527,Пиво Золотая бочка Разливное,16.81
2528,Пиво Золотая бочка Светлое,18.86
2529,Пиво Клинское Мохито,18.86
2530,Пиво Клинское Светлое,18.86
2531,Пиво Невское ICE,18.86
2532,Пиво Невское Живое,17.22
2533,Пиво Невское Классическое,19.27
2534,Пиво Невское Оригинальное,21.73
2535,Пиво Невское Светлое,18.86
2536,Пиво Оболонь Lager,16.4
2537,Пиво Оболонь Бархатное,20.09
2538,Пиво Оболонь Безалкогольное,16.81
2539,Пиво Оболонь Белое,13.94
2540,Пиво Оболонь Премиум,13.53
2541,Пиво Оболонь Пшеничное,16.4
2542,Пиво Оболонь Светлое,13.53
2543,Пиво портер,20.09
2544,Пиво светлое,20.09
2545,Пиво светлое 1.8%,18.45
2546,Пиво светлое 2.8%,22.14
2547,Пиво светлое 4.5%,18.04
2548,Пиво светлое живое,15.17
2549,Пиво Сибирская корона Безалкогольное,19.27
2550,Пиво Сибирская корона Золотистое,15.99
2551,Пиво Сибирская корона Классическое,19.27
2552,Пиво Сибирская корона Лаймъ,18.86
2553,Пиво Славутич Ice,18.86
2554,Пиво Славутич Премиум,18.86
2555,Пиво Славутич Светлое,18.86
2556,Пиво Сокол Кола,19.68
2557,Пиво Старый мельник Золотое,19.27
2558,Пиво Старый мельник Из бочонка,19.27
2559,Пиво Старый мельник Из бочонка мягкое,15.99
2560,Пиво тёмное,24.6
2561,Пиво эль,11.89
2562,Пиво Ярпиво Крепкое,23.78
2563,Пиво Ярпиво Ледяное,18.86
2564,Пиво Ярпиво Оригинальное,18.86
2565,Пиво Ярпиво Светлое,17.22
2566,Пиво Ярпиво Хлебное,16.81
2567,Пиво Ярпиво Янтарное,19.27
2568,Пикша,72.378
2569,Пирог Сдобная особа Завитушка Сливочный мусс и шоколад,388.08
2570,Пирог Сдобная особа Завитушка Шоколад и орех,416.49
2571,Пирог Сдобная особа с начинкой абрикос,388.142
2572,Пирог Сдобная особа с начинкой вишня,378.219
2573,Пирог Сдобная особа с начинкой голубика,388.142
2574,Пирог Сдобная особа с начинкой клубника,385.874
2575,Пирожное Choco Pie Lotte,449.71
2576,Пирожное Choco-Pie,455.019
2577,Пирожное Kinder Delice с молочной начинкой,468.26
2578,Пирожное Kinder молочный ломтик,432.211
2579,Пирожное Воздушное,444.987
2580,Пирожное Йогуртовое,364.244
2581,Пирожное Кармен,408.596
2582,Пирожное Картошка с карамельной начинкой,396.13
2583,Пирожное Картошка с кремом,401.133
2584,Пирожное Коктейль,380.352
2585,Пирожное Корзиночка крем-брюле,400.635
2586,Пирожное Корзиночка с белковым кремом,378.193
2587,Пирожное Корзиночка с грибочками,484.665
2588,Пирожное Корзиночка с клубничкой,441.796
2589,Пирожное Корзиночка с фруктами,338.247
2590,Пирожное Корзиночка со сливками и конфитюром,375.033
2591,Пирожное Медвежонок Барни с шоколадной начинкой,407.298
2592,Пирожное Орешек,378.375
2593,Пирожное Песочное кольцо с орехами,331.878
2594,Пирожное Полено,419.028
2595,Пирожное Творожное кольцо,302.743
2596,Пирожное Трубочка с кремом,449.768
2597,Пирожное Эклер с кремом,447.672
2598,Пирожок песочный с повидлом,451.039
2599,Пита,242.362
2600,Питайя,54.037
2601,Пицца Casa Nostra Ассорти,247.885
2602,Пицца Casa Nostra Ветчина-Сыр,223.098
2603,Пицца Casa Nostra Грибы-Сыр,201.923
2604,Пицца Ristorante Bolognese,217.815
2605,Пицца Ristorante Calzone Speciale,264.841
2606,Пицца Ristorante Formaggi and Pomodori,237.324
2607,Пицца Ristorante Funghi,240.137
2608,Пицца Ristorante Hawaii,220.524
2609,Пицца Ristorante Mozzarella,269.024
2610,Пицца Ristorante Pepperoni-Salame,278.179
2611,Пицца Ristorante Piccola Mozzarella,252.463
2612,Пицца Ristorante Piccola Salame,270.555
2613,Пицца Ristorante Prosciutto,234.049
2614,Пицца Ristorante Quattro Formaggi,273.15
2615,Пицца Ristorante Salame,280.53
2616,Пицца Ristorante Speciale,260.907
2617,Пицца Ristorante Vegetale,203.029
2618,Пишмание,466.54
2619,Плетёнка с кунжутом,268.623
2620,Плетёнка с маком,268.623
2621,Плоды дерева ши (карите),0.0
2622,Плотва свежая,90.33
2623,Плуот,50.949
2624,Плюшка,344.152
2625,Плюшка Московская,346.503
2626,Повидло абрикосовое,263.63
2627,Повидло апельсиновое,173.129
2628,Повидло вишневое,394.119
2629,Повидло грушевое,234.219
2630,Повидло из киви,148.747
2631,Повидло из крыжовника,192.7
2632,Повидло из чёрной смородины,303.4
2633,Повидло клубничное,255.129
2634,Повидло малиновое,234.11
2635,Повидло сливовое,308.865
2636,Повидло яблочное,165.64
2637,Подберёзовики свежие,32.961
2638,Подберёзовики сушёные,240.448
2639,Подорожник,31.269
2640,Подосиновики свежие,33.345
2641,Подосиновики сушёные,331.426
2642,Подушечки хрустящие с молочной начинкой,446.575
2643,Полба,331.628
2644,Полбяная каша на воде,139.561
2645,Полынь,26.65
2646,Польский гриб,19.623
2647,Помело,31.788
2648,Пончик,302.81
2649,Попкорн карамельный,414.563
2650,Попкорн солёный,412.415
2651,Попкорн сырный,515.322
2652,Поросенок молочный,112.33
2653,Портвейн,50.84
2654,Портобелло жареные на гриле,36.132
2655,Портобелло свежие,26.868
2656,Портулак,20.199
2657,Посыпка кондитерская,416.608
2658,Пражский пай Сдобная особа земляника,409.94
2659,Пражский пай Сдобная особа карамель,429.615
2660,Пражский пай Сдобная особа шоколадно-ореховый,422.92
2661,Приправа Gallina Blanca 15 овощей,191.325
2662,Приправа Gallina Blanca 15 трав и специй,182.663
2663,Приправа Gallina Blanca Универсальная,90.963
2664,Приправа Kamis Прованские травы,209.625
2665,Приправа Knorr Ароматная для борща,247.48
2666,Приправа Knorr Ароматная для мяса,147.73
2667,Приправа Knorr Ароматная для рыбы,301.61
2668,Приправа Knorr Ароматная Классика овощей,141.035
2669,Приправа Knorr Бульон говяжий Душа обеда,85.784
2670,Приправа Knorr Бульон куриный Душа обеда,106.305
2671,Приправа Knorr Секрет сациви,310.485
2672,Приправа Maggi Cупер весенняя зелень,76.224
2673,Приправа Maggi Букет приправ для курицы,143.848
2674,Приправа Maggi Говяжий бульон на косточке,221.832
2675,Приправа Maggi Дары природы,235.502
2676,Приправа Maggi Душистый пучок,113.306
2677,Приправа Maggi Зажарка из лука и моркови,273.705
2678,Приправа Maggi Зажарка со сладким перцем,248.233
2679,Приправа Maggi Заправка Для кислых щей,108.588
2680,Приправа Maggi Куриный бульон,60.099
2681,Приправа Maggi Куриный бульон Золотой,188.321
2682,Приправа Maggi Куриный бульон с овощами и зеленью,199.583
2683,Приправа Maggi На второе для гречки по-купечески,294.199
2684,Приправа Maggi На второе для домашних колбасок по-баварски,305.933
2685,Приправа Maggi На второе для запеканки из макарон с мясом по-итальянски,287.483
2686,Приправа Maggi На второе для котлет,305.824
2687,Приправа Maggi На второе для куриных крылышек барбекю,235.502
2688,Приправа Maggi На второе для курицы по-французски,311.024
2689,Приправа Maggi На второе для мясного рулета с яйцом и сыром,310.225
2690,Приправа Maggi На второе для мясных ежиков с рисом и морковью,252.55
2691,Приправа Maggi На второе для нежной курицы по-итальянски,432.99
2692,Приправа Maggi На второе для нежной курицы с чесноком и травами,429.051
2693,Приправа Maggi На второе для пельменей по-уральски,410.438
2694,Приправа Maggi На второе для плова с курицей,245.295
2695,Приправа Maggi На второе для сочного жаркого из курицы с овощами,265.167
2696,Приправа Maggi На второе для сочного мяса с чесночком и луком по-домашнему,254.761
2697,Приправа Maggi На второе для сочного цыпленка табака,303.115
2698,Приправа Maggi На второе для сочной курицы с травами,237.904
2699,Приправа Maggi На второе для сочной курицы с чесноком,265.421
2700,Приправа Maggi На второе для сочной курочки Карри,287.011
2701,Приправа Maggi На второе для сочных ребрышек барбекю,288.573
2702,Приправа Maggi На второе для сочных ребрышек с дымком,245.388
2703,Приправа Maggi На второе для хрустящих наггетсов с соусом тартар,345.724
2704,Приправа Maggi На второе для чахохбили из курицы,270.206
2705,Приправа Vegeta Natur,141.201
2706,Приправа Vegeta для говядины,165.443
2707,Приправа Vegeta для гриля,172.88
2708,Приправа Vegeta для картофеля,170.638
2709,Приправа Vegeta для креветок,162.329
2710,Приправа Vegeta для курицы,164.898
2711,Приправа Vegeta для макаронных изделий,149.702
2712,Приправа Vegeta для моркови по-корейски,161.618
2713,Приправа Vegeta для плова,177.115
2714,Приправа Vegeta для риса,155.852
2715,Приправа Vegeta для рыбы,170.337
2716,Приправа Vegeta для салата,163.834
2717,Приправа Vegeta для салата с укропом,126.057
2718,Приправа Vegeta для салата с чесноком,146.832
2719,Приправа Vegeta для свинины,144.481
2720,Приправа Vegeta для шашлыка,158.338
2721,Приправа Vegeta Легкая,136.966
2722,Приправа Vegeta Пряная,142.104
2723,Приправа Vegeta Универсальная,138.824
2724,Приправа грибная,43.18
2725,Приправа для баранины,168.49
2726,Приправа для борща,177.115
2727,Приправа для гуляша,147.73
2728,Приправа для картофеля,147.73
2729,Приправа для курицы,164.898
2730,Приправа для моркови по-корейски,161.618
2731,Приправа для мяса,147.73
2732,Приправа для пельменей,147.73
2733,Приправа для пиццы,177.525
2734,Приправа для плова,177.115
2735,Приправа для риса,155.852
2736,Приправа для рыбы,170.337
2737,Приправа для сала,164.898
2738,Приправа для салата,155.852
2739,Приправа для супа,177.115
2740,Приправа для тыквенного пирога,424.964
2741,Приправа для ухи,170.337
2742,Приправа для фарша,147.73
2743,Приправа для шашлыка,164.898
2744,Приправа Мивина куриная,144.653
2745,Приправа овощная,177.115
2746,Приправа Смесь перцев,231.448
2747,Приправа универсальная,90.963
2748,Проростки Русский Спраут Испанский горох (нут),119.99
2749,Простокваша 0.1%,28.809
2750,Простокваша 1%,38.4
2751,Простокваша 2.5%,51.925
2752,Простокваша 3.2%,58.018
2753,Простокваша Останкинская 2.5%,51.925
2754,Протеин BioTech USA Iso Whey Zero,372.14
2755,Протеин BSN Lean Dessert Protein Shake,432.79
2756,Протеин BSN Syntha-6,461.724
2757,Протеин BSN Syntha-6 Isolate,381.451
2758,Протеин CytoSport Complete Whey,398.552
2759,Протеин CytoSport Monster Milk,459.025
2760,Протеин CytoSport Muscle Milk,440.119
2761,Протеин CytoSport Muscle Milk Light,414.88
2762,Протеин Cytosport Whey Isolate,382.53
2763,Протеин Dymatize All Natural Elite Whey Protein Isolate,400.14
2764,Протеин Dymatize Elite Casein,373.614
2765,Протеин Dymatize Elite Egg Protein,362.85
2766,Протеин Dymatize Elite Fusion 7,443.274
2767,Протеин Dymatize Elite Gourmet,361.605
2768,Протеин Dymatize Elite Primal,399.34
2769,Протеин Dymatize Elite Whey Protein Isolate,371.964
2770,Протеин Dymatize Elite XT,373.905
2771,Протеин Dymatize ISO-100,366.13
2772,Протеин Fit Foods Mutant Whey,384.607
2773,Протеин Gaspari IntraPro,431.643
2774,Протеин Gaspari MyoFusion,394.239
2775,Протеин Hochdorf Ledor MO 80T,429.795
2776,Протеин IronMaxx 100% Whey Protein,400.358
2777,Протеин IronMaxx Musclin V.2.0,378.695
2778,Протеин Lactomin 80 Whey Protein Concentrate,394.95
2779,Протеин Max Power Protein 100,363.52
2780,Протеин Maxler 100% Gold Whey,428.02
2781,Протеин Multipower 100% Whey Protein,400.524
2782,Протеин Multipower Pure Whey Isolate 100,377.797
2783,Протеин Multipower Whey Protein Iso Complex,384.793
2784,Протеин Multipower Xplode,388.125
2785,Протеин Muscle Rush Whey,439.583
2786,Протеин Muscletech 100% Premium Whey Protein Plus,396.87
2787,Протеин Muscletech Nitro Tech Hardcore Pro,389.895
2788,Протеин Muscletech Nitro Tech Performance,389.76
2789,Протеин MyProtein Impact Whey Isolate,382.447
2790,Протеин MyProtein Impact Whey Protein,422.275
2791,Протеин Optimum 100% Casein Gold Standard,360.904
2792,Протеин Optimum 100% Egg Gold Standard,397.202
2793,Протеин Optimum 100% Soy Protein,401.702
2794,Протеин Optimum 100% Whey Gold Standard,394.052
2795,Протеин Optimum 100% Whey Gold Standard Natural,394.052
2796,Протеин Optimum Classic Whey,401.728
2797,Протеин Optimum Performance Whey,421.637
2798,Протеин Optimum Platinum Hydro Builder,344.302
2799,Протеин Optimum Platinum Hydro Whey,360.354
2800,Протеин Optimum Pro Complex,373.396
2801,Протеин Performance Pure Whey,405.387
2802,Протеин Performance Superior Protein Complex,369.047
2803,Протеин PureProtein Multi Protein,423.65
2804,Протеин PureProtein Soy Isolate Натуральный вкус,369.0
2805,Протеин PureProtein Soy Isolate Шоколадное печенье,356.861
2806,Протеин RLine Whey,403.467
2807,Протеин San Meta Force 5.0,400.14
2808,Протеин Syntrax Essence,336.61
2809,Протеин Syntrax Matrix 2.0,404.375
2810,Протеин Syntrax Matrix 5.0,402.626
2811,Протеин Syntrax Nectar,349.32
2812,Протеин Syntrax Nectar Naturals,349.32
2813,Протеин Syntrax Nectar Sweets,351.37
2814,Протеин Twinlab 100% Whey Protein Fuel,408.958
2815,Протеин Ultimate ISO-Cool,362.85
2816,Протеин Ultimate Isopreme Pure Bioactive Whey Isolate,401.681
2817,Протеин Ultimate ISO-Sensation 93,397.29
2818,Протеин Ultimate Prostar 100% Whey Protein,410.037
2819,Протеин Ultimate Prostar Whey Gourmet Protein,399.657
2820,Протеин Ultimate Protein Isolate,431.798
2821,Протеин Ванситон Экстра,427.75
2822,Профитроли,264.67
2823,Прошутто,286.821
2824,Пряник Тульский,377.725
2825,Пряник Тульский купеческий,389.444
2826,Пряник Тульский с цукатами,378.462
2827,Пряник Тульский шоколадный,385.292
2828,Пряники Имбирные,373.625
2829,Псиллиум,42.749
2830,Пудинг Dr.Oetker классический с ванильным вкусом,357.93
2831,Пудинг Heinz бананчик яблочко в сливках,392.739
2832,Пудинг Heinz фруктовое ассорти в сливках,394.758
2833,Пудинг ФрутоНяня ванильный,87.538
2834,Пудинг ФрутоНяня шоколадный,92.676
2835,Пудинг Чудо Ваниль,107.41
2836,Пудинг Чудо Карамель,99.62
2837,Пудинг Чудо Шоколадный,118.589
2838,Пунш,123.0
2839,Путассу,74.371
2840,Пчелиная пыльца,218.992
2841,Пшеница воздушная На Здоровье! со вкусом шоколада,409.684
2842,Пшеница пророщенная,212.567
2843,Пшеничная каша Myllyn Paras,328.13
2844,Пшеничная каша Nestle молочная с бананом,425.0
2845,Пшеничная каша Nestle молочная с тыквой,425.0
2846,Пшеничная каша Nestle молочная с яблоком,425.0
2847,Пшеничная каша Малютка молочная с тыквой,439.537
2848,Пшеничная каша ФрутоНяня молочная с фруктами,66.42
2849,Пшеничная кашка Heinz с молоком и тыквой,402.683
2850,Пшеничная кашка ФрутоНяня молочная жидкая,69.01
2851,Пшеничная крупа,313.427
2852,Пшеничная крупа Агро-Альянс,353.69
2853,Пшеничная крупа Мистраль кускус,362.98
2854,Пшенично-кукурузная кашка Heinz персик банан вишенка молочная,425.41
2855,Пшенично-овсяная кашка Heinz с фруктиками без молока,380.719
2856,Пшеничные зерна мягких сортов,312.768
2857,Пшеничные зерна твёрдых сортов,312.275
2858,Пшеничные отруби,182.819
2859,Пшеничные отруби Ого!,334.332
2860,Пшеничные хлопья Nordic,319.354
2861,Пшённая каша Myllyn Paras,308.881
2862,Пшенная каша вязкая на воде,88.503
2863,Пшенная каша рассыпчатая,136.499
2864,Пшенная крупа,361.937
2865,Пшенная крупа Мистраль шлифованная,350.457
2866,Пшенно-гречневые хлопья Алтайская сказка,355.268
2867,Пшенно-рисовые хлопья Агро-Альянс,377.46
2868,Пшенные хлопья Nordic,360.271
2869,Пшено элитное Агро-Альянс,359.97
2870,Пюре Gerber Абрикос с творогом,90.408
2871,Пюре Gerber Абрикос со сливками,89.915
2872,Пюре Gerber Банан,82.327
2873,Пюре Gerber Банан и лесные ягоды,74.537
2874,Пюре Gerber Банан с творогом,90.818
2875,Пюре Gerber Банан со сливками,89.998
2876,Пюре Gerber Бефстроганов с овощами,67.121
2877,Пюре Gerber Говядина по-домашнему с морковью,67.121
2878,Пюре Gerber Груша со сливками,92.65
2879,Пюре Gerber Груши Вильямс,54.748
2880,Пюре Gerber Зелёный горошек,36.817
2881,Пюре Gerber Индейка по-домашнему с фенхелем,73.489
2882,Пюре Gerber Клубника с творогом,87.346
2883,Пюре Gerber Клубника со сливками,85.078
2884,Пюре Gerber Морковь,26.868
2885,Пюре Gerber Овощи с фрикадельками из говядины,72.124
2886,Пюре Gerber Персик со сливками,89.998
2887,Пюре Gerber Рагу из индейки с рисом,68.434
2888,Пюре Gerber Спагетти с цыпленком,72.97
2889,Пюре Gerber Филе сайды с овощами и рисом,74.911
2890,Пюре Gerber Чернослив,75.357
2891,Пюре Gerber Яблоко абрикос банан,67.349
2892,Пюре Gerber Яблоко и черника,46.766
2893,Пюре Gerber Яблоко с лесными ягодами,45.946
2894,Пюре Gerber Яблоко с шиповником,57.208
2895,Пюре Бабушкино Лукошко Абрикос,36.9
2896,Пюре Бабушкино Лукошко Брокколи,13.53
2897,Пюре Бабушкино Лукошко Говядина,146.33
2898,Пюре Бабушкино Лукошко Говядина Кабачок,109.45
2899,Пюре Бабушкино Лукошко Говядина Овощи,88.54
2900,Пюре Бабушкино Лукошко Говядина Тыква,103.3
2901,Пюре Бабушкино Лукошко Говядина Цветная капуста,94.69
2902,Пюре Бабушкино Лукошко Горбуша Картофель,105.9
2903,Пюре Бабушкино Лукошко Груша,38.95
2904,Пюре Бабушкино Лукошко Груша Творог,54.743
2905,Пюре Бабушкино Лукошко Груша Яблоко,38.95
2906,Пюре Бабушкино Лукошко Индейка,146.33
2907,Пюре Бабушкино Лукошко Кабачок Молоко,81.85
2908,Пюре Бабушкино Лукошко Кабачок-Морковь Молоко,90.87
2909,Пюре Бабушкино Лукошко Конина,118.46
2910,Пюре Бабушкино Лукошко Кролик,146.88
2911,Пюре Бабушкино Лукошко Кролик Овощи,88.54
2912,Пюре Бабушкино Лукошко Кролик Цветная капуста,94.69
2913,Пюре Бабушкино Лукошко Морковь Яблоко,49.2
2914,Пюре Бабушкино Лукошко Мясо цыплят с гречкой,105.35
2915,Пюре Бабушкино Лукошко Оленина,118.46
2916,Пюре Бабушкино Лукошко Персик Творог,54.743
2917,Пюре Бабушкино Лукошко Сёмга Овощи,146.88
2918,Пюре Бабушкино Лукошко Треска Картофель,105.9
